region_name,Experiment,Model,region_mae,region_bias
Орловская область,A,RandomForest,3.4852307787798718,-3.4009063293967183
Пензенская область,A,RandomForest,9.431269285247796,-1.1723074080699714
Пермский край,A,RandomForest,2.1589673558878935,1.310587572426763
Приморский край,A,RandomForest,6.336725028867174,2.5719132203185353
Псковская область,A,RandomForest,0.6544824265412655,-0.4620515560745619
Республика Адыгея (Адыгея),A,RandomForest,9.730396984090644,-2.030015398881259
Республика Алтай,A,RandomForest,4.304742190757167,-0.35867015043202954
Республика Башкортостан,A,RandomForest,2.117086049274846,-0.03953483517335599
Республика Бурятия,A,RandomForest,2.168771170526702,-1.1271168734724821
Республика Дагестан,A,RandomForest,3.227202963305089,1.3254900540782109
Республика Ингушетия,A,RandomForest,4.537210283199411,4.537210283199411
Республика Калмыкия,A,RandomForest,12.386110648320761,-2.4554184483091555
Республика Карелия,A,RandomForest,7.551486881738941,5.93687045043487
Республика Коми,A,RandomForest,5.180863760955899,1.5832716413053636
Республика Марий Эл,A,RandomForest,6.189293325897251,-2.3020932180696643
Республика Мордовия,A,RandomForest,3.8113980011761512,-0.6039868158581122
Республика Саха (Якутия),A,RandomForest,4.535631312495782,1.3708205433130978
