region_name,Experiment,Model,region_mae,region_bias
Московская область,A,NaivePreviousElection,8.157683856743198,-1.0816432083946925
Мурманская область,A,NaivePreviousElection,7.818223788866104,-0.6849978101608537
Ненецкий автономный округ,A,NaivePreviousElection,5.375172856524141,-1.1259277335758544
Нижегородская область,A,NaivePreviousElection,10.64836577675988,0.05923913251330385
Новгородская область,A,NaivePreviousElection,4.820523723347349,-2.2576829359629986
Новосибирская область,A,NaivePreviousElection,6.577483613684429,0.5026557420915818
Омская область,A,NaivePreviousElection,1.5360877709340663,0.444801354179632
Оренбургская область,A,NaivePreviousElection,6.7625200424623015,-1.628074349636042
Орловская область,A,NaivePreviousElection,8.983369822711497,0.5257231803203529
Пензенская область,A,NaivePreviousElection,5.174469572446974,-0.03574222284616487
Пермский край,A,NaivePreviousElection,5.301227683729644,0.3516780611127353
Приморский край,A,NaivePreviousElection,4.351923050193168,-0.8137985896164691
Псковская область,A,NaivePreviousElection,5.665507368173361,-0.5075408048392139
Республика Адыгея (Адыгея),A,NaivePreviousElection,3.706273295949194,0.33966129395199357
Республика Алтай,A,NaivePreviousElection,2.9975935880769655,1.5291196308820727
Республика Башкортостан,A,NaivePreviousElection,7.817982357589822,1.745212771944546
Республика Бурятия,A,NaivePreviousElection,4.373383585777506,1.5142168996125658
Республика Дагестан,A,NaivePreviousElection,1.7579115156262957,1.4325736459833356
Республика Ингушетия,A,NaivePreviousElection,7.681658563742556,5.04655448891929
Республика Калмыкия,A,NaivePreviousElection,3.853147697658194,0.6809070432325983
Республика Карелия,A,NaivePreviousElection,3.9775308062140535,0.23791930666344344
Республика Коми,A,NaivePreviousElection,10.842625294501445,3.343126342890681
Республика Марий Эл,A,NaivePreviousElection,4.483974423802281,0.004078069070566552
Республика Мордовия,A,NaivePreviousElection,3.855206176958859,0.9976510768283902
Республика Саха (Якутия),A,NaivePreviousElection,2.2667378462440877,0.7193751862569773
Республика Северная Осетия - Алания,A,NaivePreviousElection,0.707948203215441,0.5099303823490771
Республика Татарстан (Татарстан),A,NaivePreviousElection,5.016846660336948,0.21994810606431248
Республика Тыва,A,NaivePreviousElection,1.2999533351099273,0.4331861120421802
Республика Хакасия,A,NaivePreviousElection,2.716929237516992,0.24158803221928218
Ростовская область,A,NaivePreviousElection,6.179428473392792,-1.302813610414607
Рязанская область,A,NaivePreviousElection,8.240739468777653,-1.6615744120254305
Самарская область,A,NaivePreviousElection,6.873785834456754,-1.1734928241248213
Саратовская область,A,NaivePreviousElection,2.8701391864069805,-0.5024730657523643
Сахалинская область,A,NaivePreviousElection,5.402273258487003,-0.07176908720779096
Свердловская область,A,NaivePreviousElection,4.634800043161296,-1.298899137915349
Смоленская область,A,NaivePreviousElection,8.551942250058389,-2.9029161853902803
Ставропольский край,A,NaivePreviousElection,3.790634922814359,-0.3413428389906545
Тамбовская область,A,NaivePreviousElection,3.181672340608682,2.7242688255525596
Тверская область,A,NaivePreviousElection,6.625563247732731,-1.3047211675127734
Томская область,A,NaivePreviousElection,5.483132886713823,1.0736727078252215
Тульская область,A,NaivePreviousElection,4.613545916993064,1.1255208852969674
Тюменская область,A,NaivePreviousElection,1.568501995042583,1.2495634301835867
Удмуртская Республика,A,NaivePreviousElection,5.274771312077188,1.2821041798231423
Ульяновская область,A,NaivePreviousElection,4.197782399667411,-1.5976038950620441
Хабаровский край,A,NaivePreviousElection,3.3127434442706587,-0.3724244944209616
Ханты-Мансийский автономный округ - Югра,A,NaivePreviousElection,4.751410647633048,-0.5381765222272659
Челябинская область,A,NaivePreviousElection,6.538465089323025,3.0476830387369014
Чеченская Республика,A,NaivePreviousElection,1.0993812163934946,1.0993812163934946
Чувашская Республика - Чувашия,A,NaivePreviousElection,5.582409530656872,-0.4862994340263267
Чукотский автономный округ,A,NaivePreviousElection,6.249524285181601,1.0804734730975802
Ямало-Ненецкий автономный округ,A,NaivePreviousElection,1.739159820907697,1.2542611375705945
Ярославская область,A,NaivePreviousElection,6.542787001586238,-1.1886291079087001
город Москва,A,NaivePreviousElection,6.0477221979315585,3.5957798405506396
город Санкт-Петербург,A,NaivePreviousElection,3.294881332469469,-0.6348495180193735
